/home/daytona/codebase/training/smoke_work/clip_00.wav,on dra dra em ul old old dra ka ka arn
/home/daytona/codebase/training/smoke_work/clip_01.wav,em ber ka old old on tor ber em ka dra
/home/daytona/codebase/training/smoke_work/clip_02.wav,ka vex ka ul dra tor arn old
/home/daytona/codebase/training/smoke_work/clip_03.wav,dra tor old ber ber ka dra ul on arn ith
/home/daytona/codebase/training/smoke_work/clip_04.wav,gon ka tor gon ber ith
/home/daytona/codebase/training/smoke_work/clip_05.wav,em em arn em ka tor
/home/daytona/codebase/training/smoke_work/clip_06.wav,old dra old ka ber tor ka
/home/daytona/codebase/training/smoke_work/clip_07.wav,vex gon arn on dra arn gon
/home/daytona/codebase/training/smoke_work/clip_08.wav,tor ith ka old arn vex em arn dra vex ber
/home/daytona/codebase/training/smoke_work/clip_09.wav,on vex arn tor vex on ka ka
/home/daytona/codebase/training/smoke_work/clip_10.wav,vex dra on ka old dra vex ka em ka
/home/daytona/codebase/training/smoke_work/clip_11.wav,on old arn gon ul on dra ber old
/home/daytona/codebase/training/smoke_work/clip_12.wav,em old old ber ul
/home/daytona/codebase/training/smoke_work/clip_13.wav,ith on on gon ul ul tor on arn
/home/daytona/codebase/training/smoke_work/clip_14.wav,arn old vex on
/home/daytona/codebase/training/smoke_work/clip_15.wav,ul vex old tor ul
/home/daytona/codebase/training/smoke_work/clip_16.wav,ul ith ka em gon em arn on ul vex
/home/daytona/codebase/training/smoke_work/clip_17.wav,arn arn arn
/home/daytona/codebase/training/smoke_work/clip_18.wav,em tor ith ul em gon ith ith ul
/home/daytona/codebase/training/smoke_work/clip_19.wav,tor em old tor ith
/home/daytona/codebase/training/smoke_work/clip_20.wav,em vex vex dra arn ith
/home/daytona/codebase/training/smoke_work/clip_21.wav,em dra vex gon tor old vex ul em ber tor ber
/home/daytona/codebase/training/smoke_work/clip_22.wav,em ka on old ka ul on ber on old on dra ith ka
/home/daytona/codebase/training/smoke_work/clip_23.wav,on dra on dra ber old dra ka tor ith vex on gon
